City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,paracuru,-3.41,-39.0306,27.28,85,99,3.19,BR,1676516225
328,plettenberg bay,-34.0527,23.3716,19.56,88,94,3.78,ZA,1676516503
329,soe,-9.8607,124.284,23.86,76,100,0.57,ID,1676516503
330,ternate,0.8,127.4,28.25,70,100,3.62,ID,1676516504
331,mersing,2.4312,103.8405,27.95,74,20,5.66,MY,1676516504
332,villaviciosa,43.4813,-5.4357,10.54,87,28,2.07,ES,1676516504
333,rawson,-43.3002,-65.1023,9.05,64,100,6.09,AR,1676516505
334,poltavka,54.3663,71.7632,-26.19,100,83,2.03,RU,1676516505
335,vra,57.3476,9.9515,4.86,97,100,4.76,DK,1676516505
336,los llanos de aridane,28.6585,-17.9182,11.86,77,40,5.66,ES,1676516506
337,lomovka,53.9194,58.3672,-17.99,99,97,1.23,RU,1676516506
338,nauta,-4.5061,-73.5757,22.78,99,100,2.2,PE,1676516507
339,vestmanna,62.1564,-7.1664,3.51,75,75,5.14,FO,1676516507
340,wentzville,38.8114,-90.8529,8.1,80,22,4.02,US,1676516507
341,caraquet,47.7941,-64.9386,0.3,98,99,5.03,CA,1676516438
342,walvis bay,-22.9575,14.5053,16.72,94,71,4.63,NA,1676516273
343,kontagora,10.3999,5.4695,20.34,18,68,3.93,NG,1676516508
344,san jose,37.3394,-121.895,10.9,50,20,3.09,US,1676516219
345,katherine,-14.4667,132.2667,33.18,55,75,3.09,AU,1676516509
346,damietta,31.4165,31.8133,11.94,64,81,2.88,EG,1676516509
347,santa cecilia,-26.9608,-50.4269,15.04,98,100,0.63,BR,1676516510
348,la cruz,23.9167,-106.9,15.59,70,83,3.89,MX,1676516511
349,husavik,66.0449,-17.3389,-1.94,86,100,3.84,IS,1676516302
350,oudtshoorn,-33.5907,22.2014,17.2,85,98,2.19,ZA,1676516511
351,palembang,-2.9167,104.7458,28.05,69,20,5.66,ID,1676516512
352,miandrivazo,-19.5167,45.4667,24.06,86,100,0.89,MG,1676516513
353,richards bay,-28.783,32.0377,23.73,94,100,2.52,ZA,1676516513
354,beringovskiy,63.05,179.3167,-24.03,93,100,6.37,RU,1676516514
355,tahta,26.7693,31.5021,9.16,60,5,2.89,EG,1676516514
356,niksic,42.7731,18.9445,-6.08,76,0,1.54,ME,1676516515
357,ibra,22.6906,58.5334,18.11,29,2,1.25,OM,1676516515
358,zemio,5.0314,25.1361,20.11,28,25,2.61,CF,1676516516
359,lovozero,68.005,35.0117,-4.57,95,52,3.04,RU,1676516516
360,jalu,29.0331,21.5482,11.41,61,66,4.01,LY,1676516516
